Month_End,Min_Month,Actual_Month
01/25/2014,8,8
02/22/2014,8,9
03/29/2014,8,8
04/26/2014,8,8
05/31/2014,8,8
06/28/2014,8,10
07/26/2014,8,8
08/30/2014,8,8
09/27/2014,8,8
10/25/2014,8,8
11/29/2014,8,8
12/27/2014,8,11
01/31/2015,8,8
02/28/2015,8,8
03/28/2015,8,8
04/25/2015,8,8
05/30/2015,8,8
06/27/2015,8,8
07/25/2015,8,8
08/29/2015,8,8
09/26/2015,8,8
10/31/2015,8,8
11/28/2015,8,8
12/26/2015,8,8
01/30/2016,8,8
02/27/2016,8,10
03/26/2016,8,8
04/30/2016,8,8
05/28/2016,8,8
06/25/2016,8,12
07/30/2016,8,8
08/27/2016,8,8
09/24/2016,8,8
10/29/2016,8,8
11/26/2016,8,8
12/31/2016,8,8
01/28/2017,10,8
02/25/2017,10,12
03/25/2017,10,8
04/29/2017,10,8
05/27/2017,10,8
06/24/2017,10,16
07/29/2017,10,8
08/26/2017,10,8
09/30/2017,10,8
10/28/2017,10,8
11/25/2017,10,8
12/30/2017,10,8
01/27/2018,10,8
02/24/2018,10,11
03/31/2018,10,8
04/28/2018,10,8
05/26/2018,10,8
06/30/2018,10,8
07/28/2018,10,8
08/25/2018,10,8
09/29/2018,10,8
10/27/2018,10,8
11/24/2018,10,8
12/29/2018,10,4
01/26/2019,12,8
02/23/2019,12,10
03/30/2019,12,8
04/27/2019,12,8
05/25/2019,12,8
06/29/2019,12,16
07/27/2019,12,8
08/31/2019,12,8
09/28/2019,12,8
10/26/2019,12,10
11/30/2019,12,8
12/28/2019,12,6
01/25/2020,12,8
02/29/2020,12,10
03/28/2020,12,8
04/25/2020,12,8
05/30/2020,12,8
06/27/2020,12,8
07/25/2020,12,8
08/29/2020,12,8
09/26/2020,12,8
10/31/2020,12,8
11/28/2020,12,8
12/26/2020,12,8